pdb_id,pdb_path,chain1,chain2,lig_code,lig_smiles,lig_resi
SARS-b0110a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0110a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CCCCCC1,410
SARS-b0110b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0110b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CCCCCC1,602
SARS-b0111a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0111a.pdb,A,A,LIG,C[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)CC1,410
SARS-b0111b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0111b.pdb,B,B,LIG,C[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)CC1,602
SARS-b0112a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0112a.pdb,A,A,LIG,CC1CCN(C(=O)Cc2cncc3ccccc23)CC1,410
SARS-b0112b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0112b.pdb,B,B,LIG,CC1CCN(C(=O)Cc2cncc3ccccc23)CC1,602
SARS-b0113a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0113a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CCCCC1,410
SARS-b0113b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0113b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CCCCC1,602
SARS-b0117a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0117a.pdb,A,A,LIG,CC(C)CC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,410
SARS-b0117b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0117b.pdb,B,B,LIG,CC(C)CC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,602
SARS-b0118a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0118a.pdb,A,A,LIG,COc1ccccc1[C@H]1C[C@@H](C)CCN1C(=O)Cc1cncc2ccccc12,410
SARS-b0118b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0118b.pdb,B,B,LIG,COc1ccccc1[C@H]1C[C@@H](C)CCN1C(=O)Cc1cncc2ccccc12,602
SARS-b0119a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0119a.pdb,A,A,LIG,CC(C)CC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,410
SARS-b0119b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0119b.pdb,B,B,LIG,CC(C)CC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,602
SARS-b0120a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0120a.pdb,A,A,LIG,COc1ccccc1[C@H]1C[C@@H](C)CCN1C(=O)Cc1cncc2ccccc12,410
SARS-b0120b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0120b.pdb,B,B,LIG,COc1ccccc1[C@H]1C[C@@H](C)CCN1C(=O)Cc1cncc2ccccc12,602
SARS-b0125a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0125a.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1C[C@H](c2ccccc2)[C@H]2CCC[C@H]21,603
SARS-b0126a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0126a.pdb,A,A,LIG,COc1ccccc1C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)C1,410
SARS-b0126b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0126b.pdb,B,B,LIG,COc1ccccc1C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)C1,602
SARS-b0127a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0127a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CCC[C@]2(C1)OC[C@H]1C[C@H]12,410
SARS-b0127b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0127b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CCC[C@]2(C1)OC[C@H]1C[C@H]12,602
SARS-b0129a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0129a.pdb,A,A,LIG,CCO[C@@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,410
SARS-b0129b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0129b.pdb,B,B,LIG,CCO[C@@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,602
SARS-b0130a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0130a.pdb,A,A,LIG,CCc1nc([C@H]2CCCN2C(=O)Cc2cncc3ccccc23)no1,410
SARS-b0130b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0130b.pdb,B,B,LIG,CCc1nc([C@H]2CCCN2C(=O)Cc2cncc3ccccc23)no1,602
SARS-b0135a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0135a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CC[C@H]2CCC[C@H]21,410
SARS-b0135b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0135b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CC[C@H]2CCC[C@H]21,602
SARS-b0136a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0136a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1C[C@@H]2COC[C@@H](C2)C1,410
SARS-b0136b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0136b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1C[C@@H]2COC[C@@H](C2)C1,602
SARS-b0137a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0137a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1[C@H]2CC=C[C@H]1CCC2,410
SARS-b0137b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0137b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1[C@H]2CC=C[C@H]1CCC2,602
SARS-b0138a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0138a.pdb,A,A,LIG,C[C@@H]1CC(=O)[C@@H](C)CN1C(=O)Cc1cncc2ccccc12,410
SARS-b0138b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0138b.pdb,B,B,LIG,C[C@@H]1CC(=O)[C@@H](C)CN1C(=O)Cc1cncc2ccccc12,602
SARS-b0139a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0139a.pdb,A,A,LIG,CCCS(=O)(=O)N[C@H]1CCN(C(=O)Cc2cncc3ccccc23)C1,410
SARS-b0139b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0139b.pdb,B,B,LIG,CCCS(=O)(=O)N[C@H]1CCN(C(=O)Cc2cncc3ccccc23)C1,602
